"ID","Recency (months)","Frequency (times)","Monetary (cc)","Time (months)","Churn (0/1)","(T-R)/(F-1)","E[X[L]|L=1]","P[B]","(E[X|L=1]-P[B])^2"
6,4,4,1000,4,0,0,1.08482287411008,0.8,0.0811240696163246
1,2,50,12500,98,1,1.95918367346939,1.00865522375584,0.833333333333333,0.0307377652613214
2,0,13,3250,28,1,2.33333333333333,0.950751679733009,0.857142857142857,0.00876261166671453
3,1,16,4000,35,1,2.26666666666667,0.903515414165146,0.875,0.000813128845009811
4,2,20,5000,45,1,2.26315789473684,0.837535801247706,0.777777777777778,0.0035710213690325
7,2,7,1750,14,1,2,0.790733068134989,0.888888888888889,0.00963456514787163
20,2,3,750,4,1,1,0.749042076216983,0.777777777777778,0.000825740544191068
21,2,3,750,4,1,1,0.749042076216983,0.777777777777778,0.000825740544191068
12,0,3,750,4,0,2,0.732513029372821,0.666666666666667,0.00433574348163047
10,5,46,11500,98,1,2.06666666666667,0.714139756748688,0.666666666666667,0.00225369428193573
25,9,9,2250,16,0,0.875,0.708805723111363,0.555555555555556,0.0234856138558832
9,2,9,2250,22,1,2.5,0.706964231375041,0.444444444444444,0.0689166385300857
8,1,12,3000,35,0,3.09090909090909,0.67763656062386,0.333333333333333,0.118544712322672
16,2,5,1250,11,1,2.25,0.675829465477529,0.333333333333333,0.117303600533734
5,1,24,6000,77,0,3.30434782608696,0.663322652017314,0.222222222222222,0.194569589165414
48,2,2,500,2,0,0,0.65884191530204,0.333333333333333,0.105955836935278
49,2,2,500,2,0,0,0.65884191530204,0.333333333333333,0.105955836935278
50,2,2,500,2,0,0,0.65884191530204,0.444444444444444,0.0459662755101337
11,4,23,5750,58,0,2.45454545454545,0.648213241866066,0.444444444444444,0.0415217228026537
15,2,6,1500,15,1,2.6,0.642584880209196,0.444444444444444,0.0392596322850456
19,2,6,1500,15,1,2.6,0.642584880209196,0.444444444444444,0.0392596322850456
29,4,5,1250,11,1,1.75,0.640303192627044,0.555555555555556,0.00718216198920073
13,2,10,2500,28,1,2.88888888888889,0.639429275222552,0.666666666666667,0.000741875492679929
27,4,6,1500,14,0,2,0.626619764991293,0.666666666666667,0.00160375433379703
22,4,11,2750,28,0,2.4,0.617342487545901,0.666666666666667,0.00243287464593735
23,2,6,1500,16,1,2.8,0.61087163336201,0.555555555555556,0.00305986846388968
24,2,6,1500,16,1,2.8,0.61087163336201,0.444444444444444,0.027698009211003
30,4,8,2000,21,0,2.42857142857143,0.584080271305555,0.444444444444444,0.0194981641431859
18,2,15,3750,49,1,3.35714285714286,0.580977675482143,0.555555555555556,0.000646284181561797
14,1,13,3250,47,0,3.83333333333333,0.565547542305457,0.666666666666667,0.0102250773115779
26,4,14,3500,40,0,2.76923076923077,0.56261398340903,0.666666666666667,0.010826960893114
28,4,12,3000,34,1,2.72727272727273,0.562032501505134,0.666666666666667,0.010948308519051
32,4,10,2500,28,1,2.66666666666667,0.561220443223546,0.666666666666667,0.0111189060384164
33,4,10,2500,28,1,2.66666666666667,0.561220443223546,0.555555555555556,3.20909522909553e-05
38,4,6,1500,16,1,2.4,0.557995541465572,0.555555555555556,5.95353124107843e-06
17,2,14,3500,48,1,3.53846153846154,0.552621288868884,0.666666666666667,0.0130063481970391
