"ID","Recency (months)","Frequency (times)","Monetary (cc)","Time (months)","Churn (0/1)","(T-R)/(F-1)","E[X[L]|L=1]","P[B]","(E[X|L=1]-P[B])^2"
1,2,50,12500,98,1,1.95918367346939,1.23846416446171,0.8,0.192250823517109
2,0,13,3250,28,1,2.33333333333333,1.14584328358209,0.833333333333333,0.0976624690044802
3,1,16,4000,35,1,2.26666666666667,1.08088019117647,0.714285714285714,0.134391510486808
4,2,20,5000,45,1,2.26315789473684,0.99529884717441,0.75,0.0601715244250945
6,4,4,1000,4,0,0,0.867910190587912,0.666666666666667,0.0404989559202409
7,2,7,1750,14,1,2,0.850166515276952,0.666666666666667,0.0336721944399976
5,1,24,6000,77,0,3.30434782608696,0.82506850888681,0.555555555555556,0.072637232013335
10,5,46,11500,98,1,2.06666666666667,0.823953570178374,0.555555555555556,0.0720374942534708
8,1,12,3000,35,0,3.09090909090909,0.810660143382353,0.444444444444444,0.134113938148581
9,2,9,2250,22,1,2.5,0.796845967280488,0.555555555555556,0.0582210627903874
11,4,23,5750,58,0,2.45454545454545,0.747944014999721,0.555555555555556,0.0370133193272994
13,2,10,2500,28,1,2.88888888888889,0.735826231047298,0.666666666666667,0.00478304534531864
12,0,3,750,4,0,2,0.733819526627219,0.666666666666667,0.00450950660088155
16,2,5,1250,11,1,2.25,0.705630338196544,0.666666666666667,0.00151816769908821
15,2,6,1500,15,1,2.6,0.696355623271759,0.666666666666667,0.000881434144299034
19,2,6,1500,15,1,2.6,0.696355623271759,0.777777777777778,0.00662956724440206
18,2,15,3750,49,1,3.35714285714286,0.693645109522293,0.666666666666667,0.000727836378914308
14,1,13,3250,47,0,3.83333333333333,0.688399199567723,0.777777777777778,0.0079885302428508
20,2,3,750,4,1,1,0.68063926371875,0.777777777777778,0.00943589091359593
21,2,3,750,4,1,1,0.68063926371875,0.777777777777778,0.00943589091359593
22,4,11,2750,28,0,2.4,0.677860644080893,0.666666666666667,0.000125305130350212
23,2,6,1500,16,1,2.8,0.6667486665,0.555555555555556,0.0123639079215035
24,2,6,1500,16,1,2.8,0.6667486665,0.666666666666667,6.72397266671474e-09
17,2,14,3500,48,1,3.53846153846154,0.659062802909222,0.666666666666667,5.78187440417794e-05
26,4,14,3500,40,0,2.76923076923077,0.635298056906618,0.555555555555556,0.00635886652172414
27,4,6,1500,14,0,2,0.634926102540747,0.555555555555556,0.0062996837287285
28,4,12,3000,34,1,2.72727272727273,0.627214449473451,0.444444444444444,0.033404874738303
29,4,5,1250,11,1,1.75,0.625189544067564,0.444444444444444,0.0326687910377714
25,9,9,2250,16,0,0.875,0.624874807597593,0.444444444444444,0.0325551159475772
30,4,8,2000,21,0,2.42857142857143,0.623115008627219,0.555555555555556,0.00456427969934228
31,1,14,3500,58,0,4.38461538461539,0.618760037282021,0.666666666666667,0.00229504513899783
32,4,10,2500,28,1,2.66666666666667,0.616236949164448,0.555555555555556,0.00368223153031738
33,4,10,2500,28,1,2.66666666666667,0.616236949164448,0.555555555555556,0.00368223153031738
34,4,9,2250,26,1,2.75,0.589804450583537,0.666666666666667,0.00590780026120974
36,2,8,2000,28,1,3.71428571428571,0.588660984837838,0.777777777777778,0.0357651613718881
35,2,16,4000,64,0,4.13333333333333,0.584710239973155,0.888888888888889,0.0925246504562016
38,4,6,1500,16,1,2.4,0.575918100445882,0.777777777777778,0.040747329332537
37,2,12,3000,47,1,4.09090909090909,0.575272510494498,0.777777777777778,0.0410083832774728
39,2,14,3500,57,1,4.23076923076923,0.567129057928084,0.666666666666667,0.00990773555339508
41,2,13,3250,53,1,4.25,0.561426173906808,0.666666666666667,0.0110755613163379
42,2,5,1250,16,0,3.5,0.55562388875,0.777777777777778,0.0493523504101662
43,2,5,1250,16,1,3.5,0.55562388875,0.666666666666667,0.0123304985274501
44,2,5,1250,16,0,3.5,0.55562388875,0.555555555555556,4.66942546299634e-09
46,4,9,2250,28,1,3,0.554613254248004,0.444444444444444,0.0121371666535328
45,4,20,5000,69,1,3.42105263157895,0.554381710574136,0.333333333333333,0.0488623850807922
48,2,2,500,2,0,0,0.549087137117647,0.333333333333333,0.0465497038474002
49,2,2,500,2,0,0,0.549087137117647,0.333333333333333,0.0465497038474002
50,2,2,500,2,0,0,0.549087137117647,0.333333333333333,0.0465497038474002
47,2,9,2250,36,0,4.25,0.540507650600184,0.333333333333333,0.0429211977349857
51,2,11,2750,46,0,4.4,0.537186145356502,0.222222222222222,0.0992022728761367
52,2,11,2750,46,1,4.4,0.537186145356502,0.333333333333333,0.0415559689697535
53,2,6,1500,22,0,4,0.531230644853659,0.444444444444444,0.00753184458146828
55,4,5,1250,14,1,2.5,0.529105085450623,0.555555555555556,0.000699627368771952
54,2,12,3000,52,0,4.54545454545455,0.52694652675,0.666666666666667,0.0195217174983329
56,4,19,4750,69,1,3.61111111111111,0.526662625045429,0.666666666666667,0.0196011316702812
40,4,7,1750,22,1,3,0.525413654621897,0.555555555555556,0.000908534191894465
57,4,8,2000,26,1,3.14285714285714,0.524270622740922,0.666666666666667,0.0202766333257027
58,2,7,1750,28,1,4.33333333333333,0.515078361733108,0.555555555555556,0.00163840321973997
60,3,6,1500,21,0,3.6,0.506585558047788,0.666666666666667,0.0256259613366493
61,2,7,1750,29,0,4.5,0.50097435401862,0.666666666666667,0.027453942470658
62,2,8,2000,35,1,4.71428571428571,0.491750662780809,0.666666666666667,0.0305956084153973
68,0,2,500,4,0,4,0.489213017751479,0.555555555555556,0.00440133232228528
