"ID","Recency..months.","Frequency..times.","Monetary..c.c..blood.","Time..months.","whether.he.she.donated.blood.in.March.2007"
501,2,43,10750,86,1
502,6,22,5500,28,1
503,2,34,8500,77,1
504,2,44,11000,98,0
505,0,26,6500,76,1
506,2,41,10250,98,1
507,3,21,5250,42,1
508,2,11,2750,23,0
509,2,21,5250,52,1
510,2,13,3250,32,1
511,4,4,1000,4,1
512,2,11,2750,26,0
513,2,11,2750,28,0
514,3,14,3500,35,0
515,4,16,4000,38,1
516,4,6,1500,14,0
517,3,5,1250,12,1
518,4,33,8250,98,1
519,3,10,2500,33,1
520,4,10,2500,28,1
521,2,11,2750,40,1
522,2,11,2750,41,1
523,4,13,3250,39,1
524,1,10,2500,43,1
525,4,9,2250,28,0
526,2,4,1000,11,0
527,2,5,1250,16,1
528,2,15,3750,64,0
529,5,24,6000,79,0
530,2,6,1500,22,1
531,4,5,1250,16,1
532,2,4,1000,14,1
533,4,8,2000,28,0
534,2,4,1000,14,0
535,2,6,1500,26,0
536,4,5,1250,16,1
537,2,7,1750,32,1
538,2,6,1500,26,1
539,2,8,2000,38,1
540,2,2,500,4,1
541,2,6,1500,28,1
542,2,10,2500,52,0
543,4,16,4000,70,1
544,4,2,500,4,1
545,1,14,3500,95,0
546,4,2,500,4,1
547,7,14,3500,48,0
548,2,3,750,11,0
549,2,12,3000,70,1
550,4,7,1750,32,1
551,4,4,1000,16,0
552,2,6,1500,35,1
553,4,6,1500,28,1
554,2,3,750,14,0
555,2,4,1000,23,0
556,4,4,1000,18,0
557,5,6,1500,28,0
558,4,6,1500,30,0
559,14,5,1250,14,0
560,3,8,2000,50,0
561,4,11,2750,64,1
562,4,9,2250,52,0
563,4,16,4000,98,1
564,7,10,2500,47,0
565,4,14,3500,86,0
566,2,9,2250,75,0
567,4,6,1500,35,0
568,4,9,2250,55,0
569,4,6,1500,35,1
570,2,6,1500,45,0
571,2,6,1500,47,0
572,4,2,500,9,0
573,2,2,500,11,1
574,2,2,500,11,0
575,2,2,500,11,1
576,4,6,1500,38,1
577,3,4,1000,29,1
578,9,9,2250,38,0
579,11,5,1250,18,0
580,2,3,750,21,0
581,2,1,250,2,0
582,2,1,250,2,1
583,2,1,250,2,0
584,2,1,250,2,0
585,2,1,250,2,0
586,2,1,250,2,0
587,2,1,250,2,1
588,2,1,250,2,0
589,2,1,250,2,0
590,2,1,250,2,0
591,2,1,250,2,0
592,11,11,2750,38,0
593,2,3,750,22,0
594,9,11,2750,49,1
595,5,11,2750,75,0
596,3,5,1250,38,0
597,3,1,250,3,1
598,4,6,1500,43,0
599,2,3,750,24,0
600,12,11,2750,39,0
601,2,2,500,14,0
602,4,6,1500,46,0
603,9,3,750,14,0
604,14,8,2000,26,0
605,4,2,500,13,0
606,4,11,2750,95,0
607,2,7,1750,77,0
608,2,7,1750,77,0
609,4,1,250,4,0
610,4,1,250,4,0
611,4,1,250,4,0
612,4,1,250,4,0
613,4,1,250,4,1
614,4,1,250,4,0
615,4,1,250,4,0
616,4,1,250,4,0
617,4,1,250,4,0
618,4,1,250,4,0
619,4,1,250,4,1
620,4,1,250,4,0
621,4,7,1750,62,0
622,4,1,250,4,0
623,4,4,1000,34,1
624,11,6,1500,28,0
625,13,3,750,14,1
626,7,5,1250,35,0
627,9,9,2250,54,0
628,11,2,500,11,0
629,2,5,1250,63,0
630,7,11,2750,89,0
631,8,9,2250,64,0
632,2,2,500,22,0
633,6,3,750,26,0
634,12,15,3750,71,0
635,13,3,750,16,0
636,11,16,4000,89,0
637,4,5,1250,58,0
638,14,7,1750,35,0
639,11,4,1000,27,0
640,7,9,2250,89,1
641,11,8,2000,52,1
642,7,5,1250,52,0
643,11,6,1500,41,0
644,10,5,1250,38,0
645,14,2,500,14,1
646,14,2,500,14,0
647,14,2,500,14,0
648,2,2,500,33,0
649,11,3,750,23,0
650,14,8,2000,46,0
651,9,1,250,9,0
652,16,5,1250,27,0
653,14,4,1000,26,0
654,4,2,500,30,0
655,14,3,750,21,0
656,16,16,4000,77,0
657,4,2,500,31,0
658,14,8,2000,50,0
659,11,3,750,26,0
660,14,7,1750,45,0
661,15,5,1250,33,0
662,16,2,500,16,0
663,16,3,750,21,0
664,11,8,2000,72,0
665,11,1,250,11,0
666,11,1,250,11,0
667,11,1,250,11,0
668,11,1,250,11,1
669,11,1,250,11,0
670,2,3,750,75,1
671,2,3,750,77,0
672,16,4,1000,28,0
673,16,15,3750,87,0
674,16,14,3500,83,0
675,16,10,2500,62,0
676,16,3,750,23,0
677,14,3,750,26,0
678,23,19,4750,62,0
679,11,7,1750,75,0
680,14,3,750,28,0
681,20,14,3500,69,1
