"ID","Recency..months.","Frequency..times.","Monetary..c.c..blood.","Time..months.","whether.he.she.donated.blood.in.March.2007"
1,2,50,12500,98,1
2,0,13,3250,28,1
3,1,16,4000,35,1
4,2,20,5000,45,1
5,1,24,6000,77,0
6,4,4,1000,4,0
7,2,7,1750,14,1
8,1,12,3000,35,0
9,2,9,2250,22,1
10,5,46,11500,98,1
11,4,23,5750,58,0
12,0,3,750,4,0
13,2,10,2500,28,1
14,1,13,3250,47,0
15,2,6,1500,15,1
16,2,5,1250,11,1
17,2,14,3500,48,1
18,2,15,3750,49,1
19,2,6,1500,15,1
20,2,3,750,4,1
21,2,3,750,4,1
22,4,11,2750,28,0
23,2,6,1500,16,1
24,2,6,1500,16,1
25,9,9,2250,16,0
26,4,14,3500,40,0
27,4,6,1500,14,0
28,4,12,3000,34,1
29,4,5,1250,11,1
30,4,8,2000,21,0
31,1,14,3500,58,0
32,4,10,2500,28,1
33,4,10,2500,28,1
34,4,9,2250,26,1
35,2,16,4000,64,0
36,2,8,2000,28,1
37,2,12,3000,47,1
38,4,6,1500,16,1
39,2,14,3500,57,1
40,4,7,1750,22,1
41,2,13,3250,53,1
42,2,5,1250,16,0
43,2,5,1250,16,1
44,2,5,1250,16,0
45,4,20,5000,69,1
46,4,9,2250,28,1
47,2,9,2250,36,0
48,2,2,500,2,0
49,2,2,500,2,0
50,2,2,500,2,0
51,2,11,2750,46,0
52,2,11,2750,46,1
53,2,6,1500,22,0
54,2,12,3000,52,0
55,4,5,1250,14,1
56,4,19,4750,69,1
57,4,8,2000,26,1
58,2,7,1750,28,1
59,2,16,4000,81,0
60,3,6,1500,21,0
61,2,7,1750,29,0
62,2,8,2000,35,1
63,2,10,2500,49,0
64,4,5,1250,16,1
65,2,3,750,9,1
66,3,16,4000,74,0
67,2,4,1000,14,1
68,0,2,500,4,0
69,4,7,1750,25,0
70,1,9,2250,51,0
71,2,4,1000,16,0
72,2,4,1000,16,0
73,4,17,4250,71,1
74,2,2,500,4,0
75,2,2,500,4,1
76,2,2,500,4,1
77,2,4,1000,16,1
78,2,2,500,4,0
79,2,2,500,4,0
80,2,2,500,4,0
81,4,6,1500,23,1
82,2,4,1000,16,0
83,2,4,1000,16,0
84,2,4,1000,16,0
85,2,6,1500,28,1
86,2,6,1500,28,0
87,4,2,500,4,0
88,4,2,500,4,0
89,4,2,500,4,0
90,2,7,1750,35,1
91,4,2,500,4,1
92,4,2,500,4,0
93,4,2,500,4,0
94,4,2,500,4,0
95,12,11,2750,23,0
96,4,7,1750,28,0
97,3,17,4250,86,0
98,4,9,2250,38,1
99,4,4,1000,14,1
100,5,7,1750,26,1
101,4,8,2000,34,1
102,2,13,3250,76,1
103,4,9,2250,40,0
104,2,5,1250,26,0
105,2,5,1250,26,0
106,6,17,4250,70,0
107,0,8,2000,59,0
108,3,5,1250,26,0
109,2,3,750,14,0
110,2,10,2500,64,0
111,4,5,1250,23,1
112,4,9,2250,46,0
113,4,5,1250,23,0
114,4,8,2000,40,1
115,2,12,3000,82,0
116,11,24,6000,64,0
117,2,7,1750,46,1
118,4,11,2750,61,0
119,1,7,1750,57,0
120,2,11,2750,79,1
121,2,3,750,16,1
122,4,5,1250,26,1
123,2,6,1500,41,1
124,2,5,1250,33,1
125,2,4,1000,26,0
126,2,5,1250,34,0
127,4,8,2000,46,1
128,2,4,1000,26,0
129,4,8,2000,48,1
130,2,2,500,10,1
131,4,5,1250,28,0
132,2,12,3000,95,0
133,2,2,500,10,0
134,4,6,1500,35,0
135,2,11,2750,88,0
136,2,3,750,19,0
137,2,5,1250,37,0
138,2,12,3000,98,0
139,9,5,1250,19,0
140,2,2,500,11,0
141,2,9,2250,74,0
142,5,14,3500,86,0
143,4,3,750,16,0
144,4,3,750,16,0
145,4,2,500,9,1
146,4,3,750,16,1
147,6,3,750,14,0
148,2,2,500,11,0
149,2,2,500,11,1
150,2,2,500,11,0
151,2,7,1750,58,1
152,4,6,1500,39,0
153,4,11,2750,78,0
154,2,1,250,2,1
155,2,1,250,2,0
156,2,1,250,2,0
157,2,1,250,2,0
158,2,1,250,2,0
159,2,1,250,2,0
160,2,1,250,2,0
161,2,1,250,2,0
162,2,1,250,2,0
163,2,1,250,2,0
164,2,1,250,2,1
165,2,1,250,2,1
166,2,1,250,2,1
167,2,1,250,2,0
168,2,1,250,2,0
169,2,1,250,2,0
170,2,1,250,2,0
171,2,1,250,2,0
172,2,1,250,2,0
173,2,1,250,2,0
174,2,1,250,2,0
175,2,1,250,2,0
176,11,10,2500,35,0
177,11,4,1000,16,1
178,4,5,1250,33,1
179,4,6,1500,41,1
180,2,3,750,22,0
181,4,4,1000,26,1
182,10,4,1000,16,0
183,2,4,1000,35,0
184,4,12,3000,88,0
185,13,8,2000,26,0
186,11,9,2250,33,0
187,4,5,1250,34,0
188,4,4,1000,26,0
189,8,15,3750,77,0
190,4,5,1250,35,1
191,4,7,1750,52,0
192,4,7,1750,52,0
193,2,4,1000,35,0
194,11,11,2750,42,0
195,2,2,500,14,0
196,2,5,1250,47,1
197,9,8,2000,38,1
198,4,6,1500,47,0
199,11,7,1750,29,0
200,9,9,2250,45,0
201,4,6,1500,52,0
202,4,7,1750,58,0
203,6,2,500,11,1
204,4,7,1750,58,0
205,11,9,2250,38,0
206,11,6,1500,26,0
207,2,2,500,16,0
208,2,7,1750,76,0
209,11,6,1500,27,0
210,11,3,750,14,0
211,4,1,250,4,0
212,4,1,250,4,0
213,4,1,250,4,0
214,4,1,250,4,0
215,4,1,250,4,0
216,4,1,250,4,1
217,4,1,250,4,0
218,4,1,250,4,0
219,4,1,250,4,0
220,4,1,250,4,0
221,4,1,250,4,0
222,4,1,250,4,1
223,4,1,250,4,1
224,4,1,250,4,0
225,4,1,250,4,1
226,4,1,250,4,1
227,4,1,250,4,0
228,4,3,750,24,0
229,4,1,250,4,0
230,4,1,250,4,0
231,4,1,250,4,0
232,4,1,250,4,1
233,4,1,250,4,0
234,10,8,2000,39,0
235,14,7,1750,26,0
236,8,10,2500,63,0
237,11,3,750,15,0
238,4,2,500,14,0
239,2,4,1000,43,0
240,8,9,2250,58,0
241,8,8,2000,52,1
242,11,22,5500,98,0
243,4,3,750,25,1
244,11,17,4250,79,1
245,9,2,500,11,0
246,4,5,1250,46,0
247,11,12,3000,58,0
248,7,12,3000,86,0
249,11,2,500,11,0
250,11,2,500,11,0
251,11,2,500,11,0
252,2,6,1500,75,0
253,11,8,2000,41,1
254,11,3,750,16,1
255,12,13,3250,59,0
256,2,3,750,35,0
257,16,8,2000,28,0
258,11,7,1750,37,0
259,4,3,750,28,0
260,12,12,3000,58,0
261,4,4,1000,41,0
262,11,14,3500,73,1
263,2,2,500,23,0
264,2,3,750,38,1
265,4,5,1250,58,0
266,4,4,1000,43,1
267,3,2,500,23,0
268,11,8,2000,46,0
269,4,7,1750,82,0
270,13,4,1000,21,0
271,16,11,2750,40,0
272,16,7,1750,28,0
273,7,2,500,16,0
274,4,5,1250,58,0
275,4,5,1250,58,0
276,4,4,1000,46,0
277,14,13,3250,57,0
278,4,3,750,34,0
279,14,18,4500,78,0
280,11,8,2000,48,0
281,14,16,4000,70,0
282,14,4,1000,22,1
283,14,5,1250,26,0
284,8,2,500,16,0
285,11,5,1250,33,0
286,11,2,500,14,0
287,4,2,500,23,0
288,9,2,500,16,1
289,14,5,1250,28,1
290,14,3,750,19,1
